Track name, Artist name, Album, Playlist name, Type, ISRC
Côte Ouest,47ter,L’adresse,Playlist 4,Playlist track,BE8HR1900013
J'me tire,GIMS,Subliminal (La face cachée),Playlist 4,Playlist track,FR7U61200105
Sur la lune,Bigflo & Oli,La vie de rêve,Playlist 4,Playlist track,FRUM71801996
Plus tard,Bigflo & Oli,La vie de rêve,Playlist 4,Playlist track,FRUM71801988
La même,GIMS,Ceinture noire,Playlist 4,Playlist track,FR9W11803167
Sapés comme jamais (feat. Niska) - Pilule bleue,GIMS,Mon coeur avait raison,Playlist 4,Playlist track,FR7U61400704
My Business (feat. Future),NAV,Good Intentions,Playlist 4,Playlist track,USUM72009629
3005,Childish Gambino,Because The Internet,Playlist 4,Playlist track,USYAH1300213
Solitaires (feat. Travis Scott),Future,High Off Life,Playlist 4,Playlist track,USSM12002496
Will,Joyner Lucas,ADHD,Playlist 4,Playlist track,QM4TX2091617
the ends,Travis Scott,Birds In The Trap Sing McKnight,Playlist 4,Playlist track,USSM11607548
way back,Travis Scott,Birds In The Trap Sing McKnight,Playlist 4,Playlist track,USSM11607549
coordinate,Travis Scott,Birds In The Trap Sing McKnight,Playlist 4,Playlist track,USSM11607370
through the late night,Travis Scott,Birds In The Trap Sing McKnight,Playlist 4,Playlist track,USSM11607550
sweet sweet,Travis Scott,Birds In The Trap Sing McKnight,Playlist 4,Playlist track,USSM11607553
outside,Travis Scott,Birds In The Trap Sing McKnight,Playlist 4,Playlist track,USSM11607554
first take,Travis Scott,Birds In The Trap Sing McKnight,Playlist 4,Playlist track,USSM11607556
wonderful,Travis Scott,Birds In The Trap Sing McKnight,Playlist 4,Playlist track,USSM11600033
guidance,Travis Scott,Birds In The Trap Sing McKnight,Playlist 4,Playlist track,USSM11607557
Like a G*d,Surf,Like a G*d,Playlist 4,Playlist track,US28B2002501
Hate Myself,Surf,Bad Human,Playlist 4,Playlist track,QZDA61867619
Martin & Gina,Polo G,THE GOAT,Playlist 4,Playlist track,USQX92002595
Heartless (feat. Mustard),Polo G,THE GOAT,Playlist 4,Playlist track,USQX91902304
Don't Believe The Hype,Polo G,THE GOAT,Playlist 4,Playlist track,USQX92002594
Flex (feat. Juice WRLD),Polo G,THE GOAT,Playlist 4,Playlist track,USQX92002596
Zoo York (feat. Fivio Foreign & Pop Smoke),Lil Tjay,State of Emergency,Playlist 4,Playlist track,USSM12002170
Shoot for the Stars (feat. Fivio Foreign),Lil Tjay,State of Emergency,Playlist 4,Playlist track,USSM12002265
Wet Em Up Pt. 2,Lil Tjay,State of Emergency,Playlist 4,Playlist track,USSM12002264
